Location Coordinate;Feature Extent;Latitude Coordinate;Longitude Coordinate;Projection;Easting Coordinate;Northing Coordinate;Class Code;Postcode;Council Ward;Suburb;GISFid;Ownership;Road Name;Road Length;Left Locality;Right Locality;Road Classification;Feature_Type;Google Maps Direction
-37.97139423245386, 145.2632591297192;"{""coordinates"": [[145.2623012985, -37.9712461351], [145.2623829249, -37.9712535611], [145.2626292553, -37.9712759707], [145.2627605697, -37.9712924603], [145.2628910903, -37.9713125447], [145.2631234882, -37.9713576781], [145.2634134798, -37.971430263], [145.2635824991, -37.9714658857], [145.2638022294, -37.9715037303], [145.2642160785, -37.971549455]], ""type"": ""LineString""}";-37.97139423246736;145.2632591297436;MGA2020 Zone 55;347454;5795937;Local Road;3802;Kalora;Endeavour Hills;841;Council;Aaran Close;171;ENDEAVOUR HILLS;ENDEAVOUR HILLS;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-37.97139423246736,145.2632591297436/@your+location,17z/data=!4m2!4m1!3e0
-38.10890822018415, 145.31811241044196;"{""coordinates"": [[145.3166393651, -38.1087235301], [145.3167686849, -38.1087402191], [145.3176408887, -38.1088527752], [145.3186163709, -38.1089704499], [145.3195861411, -38.1090874203]], ""type"": ""LineString""}";-38.10890822018459;145.31811241044485;MGA2020 Zone 55;352548;5780766;Local Road;3977;Correa;Cranbourne East;842;Council;Aayana Street;261;CRANBOURNE EAST;CRANBOURNE EAST;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.10890822018459,145.31811241044485/@your+location,17z/data=!4m2!4m1!3e0
-38.07624714864601, 145.32035534311316;"{""coordinates"": [[[145.3211630522, -38.0754575138], [145.3209496492, -38.0754302733], [145.3209463957, -38.075429858], [145.3209432133, -38.0754454346], [145.3205888541, -38.0754001882], [145.3201521207, -38.0753444404], [145.3200483874, -38.075403644], [145.3200025804, -38.0756278653], [145.3199740789, -38.0756684905], [145.3199207232, -38.0759295785], [145.3197196807, -38.0769136072], [145.3195241567, -38.0772023262], [145.3194731588, -38.0772776314]], [[145.3209432133, -38.0754454346], [145.3205697889, -38.077273312], [145.3203742842, -38.0775620011], [145.3203232465, -38.0776373647]]], ""type"": ""MultiLineString""}";-38.076289855523726;145.32040081310103;MGA2020 Zone 55;352682;5784388;Local Road;3977;Kowan;Cranbourne North;846;Council;Abrus Circuit;570;CRANBOURNE NORTH;CRANBOURNE NORTH;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.076289855523726,145.32040081310103/@your+location,17z/data=!4m2!4m1!3e0
-38.04805337425121, 145.32089850784922;"{""coordinates"": [[145.3214100309, -38.0484526164], [145.3214091294, -38.0484496406], [145.3214338628, -38.0482680583], [145.321476082, -38.0479580494], [145.3214585881, -38.0479035002], [145.321446553, -38.0478970011], [145.321403219, -38.0478736127], [145.3205673192, -38.0477693702], [145.3204914471, -38.0477886907], [145.3204606579, -38.0478542862], [145.3204171783, -38.0481820102], [145.3205972132, -38.0486583105]], ""type"": ""LineString""}";-38.04805337427462;145.32089850783032;MGA2020 Zone 55;352670;5787521;Local Road;3806;Akoonah;Berwick;850;Council;Adakite Drive;248;BERWICK;BERWICK;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.04805337427462,145.32089850783032/@your+location,17z/data=!4m2!4m1!3e0
-38.12051098596724, 145.37276700964284;"{""coordinates"": [[[145.3713555661, -38.1199174895], [145.3714785777, -38.1199341316]], [[145.3714785777, -38.1199341316], [145.3738080925, -38.120249262]], [[145.3712148048, -38.1205860898], [145.3713356477, -38.1206053712]], [[145.3713356477, -38.1206053712], [145.3716674652, -38.1206583147], [145.3716674645, -38.1206583146]], [[145.3745902595, -38.1210433199], [145.3744409148, -38.1210247616], [145.3741423626, -38.1209876614], [145.3740860408, -38.1209806624], [145.3737543039, -38.1209364492], [145.3726345418, -38.120787208], [145.3716674652, -38.1206583147], [145.3716674661, -38.1206583148]]], ""type"": ""MultiLineString""}";-38.12041954956164;145.37199316277088;MGA2020 Zone 55;357295;5779573;Local Road;3978;Dillwynia;Clyde North;854;Council;Aegean Street;518;CLYDE NORTH;CLYDE NORTH;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.12041954956164,145.37199316277088/@your+location,17z/data=!4m2!4m1!3e0
-38.12575484231825, 145.23757947812615;"{""coordinates"": [[145.2360577226, -38.125443837], [145.2361848554, -38.1254748684], [145.2364223593, -38.1255328396], [145.2383378307, -38.1258769319], [145.2390059281, -38.1261080891], [145.2390849913, -38.1261248864]], ""type"": ""LineString""}";-38.12575484230799;145.2375794781262;MGA2020 Zone 55;345523;5778766;Local Road;3977;Cranbourne Gardens;Cranbourne South;857;Council;Ajana Drive;276;CRANBOURNE SOUTH;CRANBOURNE SOUTH;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.12575484230799,145.2375794781262/@your+location,17z/data=!4m2!4m1!3e0
-38.079389900320265, 145.3181061482591;"{""coordinates"": [[145.317656079, -38.079332427], [145.3177462, -38.0793439356], [145.3184663196, -38.0794358936], [145.3185562176, -38.079447373]], ""type"": ""LineString""}";-38.07938990031215;145.31810614825775;MGA2020 Zone 55;352488;5784042;Local Road;3977;Kowan;Cranbourne North;858;Council;Ajuga Lane;79;CRANBOURNE NORTH;CRANBOURNE NORTH;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.07938990031215,145.31810614825775/@your+location,17z/data=!4m2!4m1!3e0
-38.1098852511188, 145.24262085601882;"{""coordinates"": [[[145.2369461662, -38.109029273], [145.2371043592, -38.1090491682]], [[145.2371047555, -38.109049218], [145.2374596137, -38.109093846], [145.2376892959, -38.1091237614], [145.2379820742, -38.1091996868], [145.2387132388, -38.1093893088], [145.2387800919, -38.1094011496], [145.2390434069, -38.1094477976], [145.2396144429, -38.1095172924], [145.239947599, -38.1095578361], [145.2415036563, -38.1097429219], [145.2421155067, -38.1098222691], [145.2422731209, -38.1098427086], [145.242430274, -38.1098646225], [145.2427671398, -38.1099115953], [145.2431836863, -38.1099672238], [145.2439706845, -38.1100723236], [145.2447576853, -38.11017741], [145.2456009135, -38.1102899979], [145.2464272379, -38.1104003367], [145.2473098148, -38.1105182011], [145.2478043048, -38.1105842367]], [[145.2478057925, -38.1105844354], [145.2478077009, -38.1105846903], [145.2481657233, -38.1106324483]], [[145.2481657151, -38.1106324472], [145.2483147695, -38.1106523298]]], ""type"": ""MultiLineString""}";-38.1100382424287;145.24392409478327;MGA2020 Zone 55;346046;5780521;Local Road;3977;Quarters;Cranbourne West;861;Council;Alarah Boulevard;1013;CRANBOURNE WEST;CRANBOURNE WEST;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.1100382424287,145.24392409478327/@your+location,17z/data=!4m2!4m1!3e0
-38.07726748756941, 145.24244635474665;"{""coordinates"": [[145.2425145089, -38.0769279456], [145.2425003074, -38.0769986975], [145.242389696, -38.0775497594], [145.2423782004, -38.0776070295]], ""type"": ""LineString""}";-38.07726748757672;145.24244635471985;MGA2020 Zone 55;345848;5784155;Local Road;3975;Quarters;Lyndhurst;863;Council;Alba Way;76;LYNDHURST;LYNDHURST;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.07726748757672,145.24244635471985/@your+location,17z/data=!4m2!4m1!3e0
-38.08090384137412, 145.33133998263534;"{""coordinates"": [[145.3317406489, -38.080577075], [145.331682303, -38.0806237025], [145.3310875727, -38.0810989797], [145.3309707863, -38.0812605885]], ""type"": ""LineString""}";-38.08090384137713;145.33133998266243;MGA2020 Zone 55;353652;5783894;Local Road;3977;Kowan;Cranbourne North;869;Council;Alcoota Close;102;CRANBOURNE NORTH;CRANBOURNE NORTH;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.08090384137713,145.33133998266243/@your+location,17z/data=!4m2!4m1!3e0
-38.12372819929525, 145.3585671710039;"{""coordinates"": [[[145.3587595045, -38.122820127], [145.3587439163, -38.122893726], [145.3583898807, -38.1245652459]], [[145.3583898796, -38.1245652513], [145.3583748357, -38.1246362764]]], ""type"": ""MultiLineString""}";-38.12414672518312;145.3584785252456;MGA2020 Zone 55;356117;5779139;Local Road;3978;Tooradin;Clyde;872;Council;Alicante Street;204;CLYDE;CLYDE;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.12414672518312,145.3584785252456/@your+location,17z/data=!4m2!4m1!3e0
