conf_qubit_alloc,conf_cluster_type,conf_target_id,conf_qaoa_depth,shots,done
naive_adjacency,waste_collection_area,56,2,512,yes
node_visit_time,waste_collection_area,56,2,512,yes
naive_adjacency,waste_collection_area,108,2,512,yes
node_visit_time,waste_collection_area,108,2,512,yes
naive_adjacency,waste_collection_area,47,2,512,yes
node_visit_time,waste_collection_area,47,2,512,yes
naive_adjacency,waste_facility,5,2,512,yes
node_visit_time,waste_facility,5,2,512,yes
naive_adjacency,waste_collection_area,103,2,512,yes
node_visit_time,waste_collection_area,103,2,512,yes
naive_adjacency,waste_collection_area,63,2,512,yes
node_visit_time,waste_collection_area,63,2,512,yes
naive_adjacency,waste_collection_area,56,2,128,yes
naive_adjacency,waste_collection_area,56,2,256,yes
naive_adjacency,waste_collection_area,56,2,1024,yes
naive_adjacency,waste_collection_area,56,2,2048,yes
naive_adjacency,waste_collection_area,56,3,512,yes
node_visit_time,waste_collection_area,56,3,512,yes
naive_adjacency,waste_collection_area,56,4,512,yes
node_visit_time,waste_collection_area,56,4,512,yes
naive_adjacency,waste_collection_area,56,5,512,yes
node_visit_time,waste_collection_area,56,5,512,yes
