conf_qubit_alloc,conf_cluster_type,conf_target_id,conf_qaoa_depth,shots,done
naive_adjacency,waste_collection_area,56,3,512,yes
node_visit_time,waste_collection_area,56,3,512,yes
naive_adjacency,waste_collection_area,108,3,512,yes
node_visit_time,waste_collection_area,108,3,512,yes
naive_adjacency,waste_collection_area,47,3,512,yes
node_visit_time,waste_collection_area,47,3,512,yes
naive_adjacency,waste_facility,5,3,512,yes
node_visit_time,waste_facility,5,3,512,yes
naive_adjacency,waste_collection_area,103,3,512,yes
node_visit_time,waste_collection_area,103,3,512,yes
naive_adjacency,waste_collection_area,63,3,512,yes
node_visit_time,waste_collection_area,63,3,512,yes
naive_adjacency,waste_collection_area,78,3,512,yes
node_visit_time,waste_collection_area,78,3,512,yes
naive_adjacency,waste_collection_area,21,3,512,yes
node_visit_time,waste_collection_area,21,3,512,yes
naive_adjacency,waste_collection_area,90,3,512,yes
node_visit_time,waste_collection_area,90,3,512,yes
naive_adjacency,waste_collection_area,14,3,512,yes
node_visit_time,waste_collection_area,14,3,512,yes
naive_adjacency,waste_collection_area,79,3,512,yes
node_visit_time,waste_collection_area,79,3,512,yes
naive_adjacency,waste_collection_area,45,3,512,yes
node_visit_time,waste_collection_area,45,3,512,yes
naive_adjacency,waste_collection_area,81,3,512,yes
node_visit_time,waste_collection_area,81,3,512,yes
naive_adjacency,waste_collection_area,80,3,512,yes
node_visit_time,waste_collection_area,80,3,512,yes
naive_adjacency,waste_collection_area,56,3,128,yes
naive_adjacency,waste_collection_area,56,3,256,yes
naive_adjacency,waste_collection_area,56,3,512,yes
naive_adjacency,waste_collection_area,56,3,1024,yes
naive_adjacency,waste_collection_area,56,3,2048,yes
naive_adjacency,waste_collection_area,56,3,4096,yes
node_visit_time,waste_collection_area,56,3,128,yes
node_visit_time,waste_collection_area,56,3,256,yes
node_visit_time,waste_collection_area,56,3,512,yes
node_visit_time,waste_collection_area,56,3,1024,yes
node_visit_time,waste_collection_area,56,3,2048,yes
node_visit_time,waste_collection_area,56,3,4096,yes
naive_adjacency,waste_collection_area,56,2,1024,yes
node_visit_time,waste_collection_area,56,2,1024,yes
naive_adjacency,waste_collection_area,56,3,1024,yes
node_visit_time,waste_collection_area,56,3,1024,yes
naive_adjacency,waste_collection_area,56,4,1024,yes
node_visit_time,waste_collection_area,56,4,1024,yes
naive_adjacency,waste_collection_area,56,5,1024,yes
node_visit_time,waste_collection_area,56,5,1024,yes
naive_adjacency,waste_collection_area,56,6,1024,yes
node_visit_time,waste_collection_area,56,6,1024,yes
