ROAD_SEGMENT_ID;LINE_ID;START_LAT;START_LON;END_LAT;END_LON
1;1;-37.9712461351;145.2623012985;-37.9712535611;145.2623829249
2;1;-37.9712535611;145.2623829249;-37.9712759707;145.2626292553
3;1;-37.9712759707;145.2626292553;-37.9712924603;145.2627605697
4;1;-37.9712924603;145.2627605697;-37.9713125447;145.2628910903
5;1;-37.9713125447;145.2628910903;-37.9713576781;145.2631234882
6;1;-37.9713576781;145.2631234882;-37.971430263;145.2634134798
7;1;-37.971430263;145.2634134798;-37.9714658857;145.2635824991
8;1;-37.9714658857;145.2635824991;-37.9715037303;145.2638022294
9;1;-37.9715037303;145.2638022294;-37.971549455;145.2642160785
10;2;-38.1087235301;145.3166393651;-38.1087402191;145.3167686849
11;2;-38.1087402191;145.3167686849;-38.1088527752;145.3176408887
12;2;-38.1088527752;145.3176408887;-38.1089704499;145.3186163709
13;2;-38.1089704499;145.3186163709;-38.1090874203;145.3195861411
14;3;-38.0754575138;145.3211630522;-38.0754302733;145.3209496492
15;3;-38.0754302733;145.3209496492;-38.075429858;145.3209463957
16;3;-38.075429858;145.3209463957;-38.0754454346;145.3209432133
17;3;-38.0754454346;145.3209432133;-38.0754001882;145.3205888541
18;3;-38.0754001882;145.3205888541;-38.0753444404;145.3201521207
19;3;-38.0753444404;145.3201521207;-38.075403644;145.3200483874
20;3;-38.075403644;145.3200483874;-38.0756278653;145.3200025804
21;3;-38.0756278653;145.3200025804;-38.0756684905;145.3199740789
22;3;-38.0756684905;145.3199740789;-38.0759295785;145.3199207232
23;3;-38.0759295785;145.3199207232;-38.0769136072;145.3197196807
24;3;-38.0769136072;145.3197196807;-38.0772023262;145.3195241567
25;3;-38.0772023262;145.3195241567;-38.0772776314;145.3194731588
26;3;-38.0772776314;145.3194731588;-38.0754454346;145.3209432133
27;3;-38.0754454346;145.3209432133;-38.077273312;145.3205697889
28;3;-38.077273312;145.3205697889;-38.0775620011;145.3203742842
29;3;-38.0775620011;145.3203742842;-38.0776373647;145.3203232465
30;4;-38.0484526164;145.3214100309;-38.0484496406;145.3214091294
31;4;-38.0484496406;145.3214091294;-38.0482680583;145.3214338628
32;4;-38.0482680583;145.3214338628;-38.0479580494;145.321476082
33;4;-38.0479580494;145.321476082;-38.0479035002;145.3214585881
34;4;-38.0479035002;145.3214585881;-38.0478970011;145.321446553
35;4;-38.0478970011;145.321446553;-38.0478736127;145.321403219
36;4;-38.0478736127;145.321403219;-38.0477693702;145.3205673192
37;4;-38.0477693702;145.3205673192;-38.0477886907;145.3204914471
38;4;-38.0477886907;145.3204914471;-38.0478542862;145.3204606579
39;4;-38.0478542862;145.3204606579;-38.0481820102;145.3204171783
40;4;-38.0481820102;145.3204171783;-38.0486583105;145.3205972132
41;5;-38.1199174895;145.3713555661;-38.1199341316;145.3714785777
42;5;-38.1199341316;145.3714785777;-38.1199341316;145.3714785777
43;5;-38.1199341316;145.3714785777;-38.120249262;145.3738080925
44;5;-38.120249262;145.3738080925;-38.1205860898;145.3712148048
45;5;-38.1205860898;145.3712148048;-38.1206053712;145.3713356477
46;5;-38.1206053712;145.3713356477;-38.1206053712;145.3713356477
47;5;-38.1206053712;145.3713356477;-38.1206583147;145.3716674652
48;5;-38.1206583147;145.3716674652;-38.1206583146;145.3716674645
49;5;-38.1206583146;145.3716674645;-38.1210433199;145.3745902595
