Location Coordinate;Feature Extent;Latitude Coordinate;Longitude Coordinate;Road Name;Installed Year;Range;Counter Type;Installed Date;Easting Coordinate;Northing Coordinate;Projection;Postcode;85th Percentile (Kmh);Volume in 12Hours;Volume in 24Hours;Commercial Vehicles (%);Peak Volume (%);GISFid
-38.1004677297, 145.2883321149;"{""coordinates"": [145.2883321149, -38.1004677297], ""type"": ""Point""}";-38.10046772971046;145.28833211485934;Normanby Street;2019;Between 50km/h and 60km/h;W;2019-11-12;349920;5781655;MGA2020 zone 55;3977;54.5;257;319;2.33;12.75;1
-38.0110919639, 145.3067907775;"{""coordinates"": [145.3067907775, -38.0110919639], ""type"": ""Point""}";-38.01109196386131;145.30679077751992;Prospect Hill Road;2019;Between 50km/h and 60km/h;W;2019-03-20;351358;5791603;MGA2020 zone 55;3805;55.0;1232;1635;1.9;8.81;6
-38.028972599, 145.31131357;"{""coordinates"": [145.31131357, -38.028972599], ""type"": ""Point""}";-38.028972598953175;145.31131356999137;Kent Road;2018;Between 50km/h and 60km/h;W;2018-03-02;351791;5789626;MGA2020 zone 55;3805;53.1;306;401;3.65;10.22;12
-38.0492610483, 145.3384208407;"{""coordinates"": [145.3384208407, -38.0492610483], ""type"": ""Point""}";-38.04926104833665;145.33842084068547;County Drive;2018;Between 50km/h and 60km/h;W;2018-03-02;354210;5787417;MGA2020 zone 55;3806;57.9;3042;4057;2.95;9.22;36
-37.9967586499, 145.241517811;"{""coordinates"": [145.241517811, -37.9967586499], ""type"": ""Point""}";-37.996758649923585;145.24151781103697;Oak Avenue Doveton;2019;Between 40km/h and 50km/h;W;2019-03-20;345597;5793087;MGA2020 zone 55;3177;49.0;211;297;4.5;8.08;83
-38.0540947356, 145.3543884418;"{""coordinates"": [145.3543884418, -38.0540947356], ""type"": ""Point""}";-38.05409473558246;145.35438844175926;Barton Mews Berwick;2019;Between 30km/h and 40km/h;W;2019-02-23;355621;5786906;MGA2020 zone 55;3806;37.8;184;225;5.46;19.56;85
-38.1258501896, 145.2625669991;"{""coordinates"": [145.2625669991, -38.1258501896], ""type"": ""Point""}";-38.1258501896229;145.26256699910175;Ballarto Road;2019;More than 60km/h;W;2019-03-26;347713;5778797;MGA2020 zone 55;3977;71.0;609;757;42.2;9.3;98
-37.9737889779, 145.2588729181;"{""coordinates"": [145.2588729181, -37.9737889779], ""type"": ""Point""}";-37.97378897789538;145.25887291814612;Mossgiel Park Drive;2018;More than 60km/h;W;2018-06-23;347074;5795664;MGA2020 zone 55;3802;60.4;7944;10418;4.6;9.0;100
-38.0824227024, 145.2915293738;"{""coordinates"": [145.2915293738, -38.0824227024], ""type"": ""Point""}";-38.08242270237316;145.2915293738323;Carey Street Cranbourne Nth;2019;Between 50km/h and 60km/h;W;2019-02-26;350164;5783663;MGA2020 zone 55;3977;55.8;534;715;3.4;12.45;144
-38.2133113693, 145.315300236;"{""coordinates"": [145.315300236, -38.2133113693], ""type"": ""Point""}";-38.21331136929143;145.31530023596707;Cannons Creek Road;2021;Between 50km/h and 60km/h;W;2021-03-23;352512;5769177;MGA2020 zone 55;3977;53.8;277;336;3.9;10.1;189
