ROAD_SEGMENT_ID;LINE_ID;START_LAT;START_LON;END_LAT;END_LON;modified_weight_km
1;1;-37.9712461351;145.2623012985;-37.9712535611;145.2623829249;0.0082830194869403
2;1;-37.9712535611;145.2623829249;-37.9712759707;145.2626292553;0.024996307410353
3;1;-37.9712759707;145.2626292553;-37.9712924603;145.2627605697;0.0134041246821008
4;1;-37.9712924603;145.2627605697;-37.9713125447;145.2628910903;0.0134055314619692
5;1;-37.9713125447;145.2628910903;-37.9713576781;145.2631234882;0.0241274472066077
6;1;-37.9713576781;145.2631234882;-37.971430263;145.2634134798;0.0306709037286107
7;1;-37.971430263;145.2634134798;-37.9714658857;145.2635824991;0.0176364875934859
8;1;-37.9714658857;145.2635824991;-37.9715037303;145.2638022294;0.0226724872574285
9;1;-37.9715037303;145.2638022294;-37.971549455;145.2642160785;0.0421259453305463
10;2;-38.1087235301;145.3166393651;-38.1087402191;145.3167686849;0.0120389995684996
11;2;-38.1087402191;145.3167686849;-38.1088527752;145.3176408887;0.0811974895814011
12;2;-38.1088527752;145.3176408887;-38.1089704499;145.3186163709;0.0906618241447728
13;2;-38.1089704499;145.3186163709;-38.1090874203;145.3195861411;0.0901305366837854
14;3;-38.0754575138;145.3211630522;-38.0754302733;145.3209496492;0.0217622613489617
15;3;-38.0754302733;145.3209496492;-38.075429858;145.3209463957;0.0003317831323221
16;3;-38.075429858;145.3209463957;-38.0754454346;145.3209432133;0.0020174410599049
17;3;-38.0754454346;145.3209432133;-38.0754001882;145.3205888541;0.0361368721066945
18;3;-38.0754001882;145.3205888541;-38.0753444404;145.3201521207;0.0445369261140265
19;3;-38.0753444404;145.3201521207;-38.075403644;145.3200483874;0.0128977038165606
20;3;-38.075403644;145.3200483874;-38.0756278653;145.3200025804;0.0290405180167974
21;3;-38.0756278653;145.3200025804;-38.0756684905;145.3199740789;0.0059345110521176
22;3;-38.0756684905;145.3199740789;-38.0759295785;145.3199207232;0.0338156597730687
23;3;-38.0759295785;145.3199207232;-38.0769136072;145.3197196807;0.1274488014886239
24;3;-38.0769136072;145.3197196807;-38.0772023262;145.3195241567;0.0381999926097046
25;3;-38.0772023262;145.3195241567;-38.0772776314;145.3194731588;0.0099635297184574
26;3;-38.0772776314;145.3194731588;-38.0754454346;145.3209432133;0.2530126180509217
27;3;-38.0754454346;145.3209432133;-38.077273312;145.3205697889;0.2367415277611412
28;3;-38.077273312;145.3205697889;-38.0775620011;145.3203742842;0.0381960360247841
29;3;-38.0775620011;145.3203742842;-38.0776373647;145.3203232465;0.0099712565248455
30;4;-38.0484526164;145.3214100309;-38.0484496406;145.3214091294;0.000391206659634
31;4;-38.0484496406;145.3214091294;-38.0482680583;145.3214338628;0.0233528820063898
32;4;-38.0482680583;145.3214338628;-38.0479580494;145.321476082;0.0398694554518075
33;4;-38.0479580494;145.321476082;-38.0479035002;145.3214585881;0.0071944459128591
34;4;-38.0479035002;145.3214585881;-38.0478970011;145.321446553;0.0014695129800031
35;4;-38.0478970011;145.321446553;-38.0478736127;145.321403219;0.0052902775469229
36;4;-38.0478736127;145.321403219;-38.0477693702;145.3205673192;0.0852244248392503
37;4;-38.0477693702;145.3205673192;-38.0477886907;145.3204914471;0.0080298781062505
38;4;-38.0477886907;145.3204914471;-38.0478542862;145.3204606579;0.0089426538379945
39;4;-38.0478542862;145.3204606579;-38.0481820102;145.3204171783;0.0421355357397996
40;4;-38.0481820102;145.3204171783;-38.0486583105;145.3205972132;0.0635474560629308
41;5;-38.1199174895;145.3713555661;-38.1199341316;145.3714785777;0.01091892401818
42;5;-38.1199341316;145.3714785777;-38.1199341316;145.3714785777;0.0
43;5;-38.1199341316;145.3714785777;-38.120249262;145.3738080925;0.2067746158909525
44;5;-38.120249262;145.3738080925;-38.1205860898;145.3712148048;0.2414248804247948
45;5;-38.1205860898;145.3712148048;-38.1206053712;145.3713356477;0.0107863837592578
46;5;-38.1206053712;145.3713356477;-38.1206053712;145.3713356477;0.0
47;5;-38.1206053712;145.3713356477;-38.1206583147;145.3716674652;0.0296178581413992
48;5;-38.1206583147;145.3716674652;-38.1206583146;145.3716674645;6.223652379893816e-08
49;5;-38.1206583146;145.3716674645;-38.1210433199;145.3745902595;0.2592401524372353
50;5;-38.1210433199;145.3745902595;-38.1210247616;145.3744409148;0.0138876646947594
51;5;-38.1210247616;145.3744409148;-38.1209876614;145.3741423626;0.0277625932179331
52;5;-38.1209876614;145.3741423626;-38.1209806624;145.3740860408;0.0052374090358225
53;5;-38.1209806624;145.3740860408;-38.1209364492;145.3737543039;0.0309048591243981
54;5;-38.1209364492;145.3737543039;-38.120787208;145.3726345418;0.1043180460014478
55;5;-38.120787208;145.3726345418;-38.1206583147;145.3716674652;0.0900939316930489
56;5;-38.1206583147;145.3716674652;-38.1206583148;145.3716674661;7.951157694295846e-08
57;6;-38.125443837;145.2360577226;-38.1254748684;145.2361848554;0.0124703676380057
58;6;-38.1254748684;145.2361848554;-38.1255328396;145.2364223593;0.0232965684466091
59;6;-38.1255328396;145.2364223593;-38.1258769319;145.2383378307;0.1840663012250704
60;6;-38.1258769319;145.2383378307;-38.1261080891;145.2390059281;0.0651195198783948
61;6;-38.1261080891;145.2390059281;-38.1261248864;145.2390849913;0.0073068591884536
62;7;-38.079332427;145.317656079;-38.0793439356;145.3177462;0.0083907946347282
63;7;-38.0793439356;145.3177462;-38.0794358936;145.3184663196;0.0670472738798104
64;7;-38.0794358936;145.3184663196;-38.079447373;145.3185562176;0.0083700069771451
65;8;-38.109029273;145.2369461662;-38.1090491682;145.2371043592;0.0142966893524773
66;8;-38.1090491682;145.2371043592;-38.109049218;145.2371047555;3.5814871060378686e-05
67;8;-38.109049218;145.2371047555;-38.109093846;145.2374596137;0.0320702736306854
68;8;-38.109093846;145.2374596137;-38.1091237614;145.2376892959;0.0207762513810995
69;8;-38.1091237614;145.2376892959;-38.1091996868;145.2379820742;0.0275106383729434
70;8;-38.1091996868;145.2379820742;-38.1093893088;145.2387132388;0.0687034764066277
71;8;-38.1093893088;145.2387132388;-38.1094011496;145.2387800919;0.0061153727666897
72;8;-38.1094011496;145.2387800919;-38.1094477976;145.2390434069;0.0240869351167416
73;8;-38.1094477976;145.2390434069;-38.1095172924;145.2396144429;0.0515661553603861
74;8;-38.1095172924;145.2396144429;-38.1095578361;145.239947599;0.0300848884599316
75;8;-38.1095578361;145.239947599;-38.1097429219;145.2415036563;0.1404425557698269
76;8;-38.1097429219;145.2415036563;-38.1098222691;145.2421155067;0.0581059412443861
77;8;-38.1098222691;145.2421155067;-38.1098427086;145.2422731209;0.0149682160506306
78;8;-38.1098427086;145.2422731209;-38.1098646225;145.242430274;0.014955220812956
79;8;-38.1098646225;145.242430274;-38.1099115953;145.2427671398;0.0320572586752378
80;8;-38.1099115953;145.2427671398;-38.1099672238;145.2431836863;0.0395899378032895
81;8;-38.1099672238;145.2431836863;-38.1100723236;145.2439706845;0.074798767968105
82;8;-38.1100723236;145.2439706845;-38.11017741;145.2447576853;0.0712367967105363
83;8;-38.11017741;145.2447576853;-38.1102899979;145.2456009135;0.0763260889512706
84;8;-38.1102899979;145.2456009135;-38.1104003367;145.2464272379;0.0747960545778978
85;8;-38.1104003367;145.2464272379;-38.1105182011;145.2473098148;0.0838823861955123
86;8;-38.1105182011;145.2473098148;-38.1105842367;145.2478043048;0.0469975194833684
87;8;-38.1105842367;145.2478043048;-38.1105844354;145.2478057925;0.0001413950873935
88;8;-38.1105844354;145.2478057925;-38.1105846903;145.2478077009;0.0001813797818869
89;8;-38.1105846903;145.2478077009;-38.1106324483;145.2481657233;0.0340262222930763
90;8;-38.1106324483;145.2481657233;-38.1106324472;145.2481657151;7.794462693374081e-07
91;8;-38.1106324472;145.2481657151;-38.1106523298;145.2483147695;0.0141660225766594
92;9;-38.0769279456;145.2425145089;-38.0769986975;145.2425003074;0.0079648526387116
93;9;-38.0769986975;145.2425003074;-38.0775497594;145.242389696;0.062035467720765
94;9;-38.0775497594;145.242389696;-38.0776070295;145.2423782004;0.0064471485267608
95;10;-38.080577075;145.3317406489;-38.0806237025;145.331682303;0.0072774323756353
96;10;-38.0806237025;145.331682303;-38.0810989797;145.3310875727;0.0741796302948027
97;10;-38.0810989797;145.3310875727;-38.0812605885;145.3309707863;0.0217075708427448
98;11;-38.122820127;145.3587595045;-38.122893726;145.3587439163;0.0082966583959158
99;11;-38.122893726;145.3587439163;-38.1245652459;145.3583898807;0.1884269474630652
100;11;-38.1245652459;145.3583898807;-38.1245652513;145.3583898796;6.08113163703822e-07
101;11;-38.1245652513;145.3583898796;-38.1246362764;145.3583748357;0.0080065151840217
102;12;-37.9687205291;145.2540266782;-37.96874683;145.2541516838;0.0119086300465746
103;12;-37.96874683;145.2541516838;-37.9688348198;145.2545698969;0.0398409075924793
104;12;-37.9688348198;145.2545698969;-37.9689465513;145.2548476446;0.027334020492186
105;13;-38.026797854;145.2552066484;-38.0279908206;145.2549377814;0.1414623777075334
106;13;-38.0279908206;145.2549377814;-38.0280663121;145.2549146091;0.0090679680250799
107;13;-38.0280663121;145.2549146091;-38.0281410027;145.2548787674;0.0093226816987543
108;13;-38.0281410027;145.2548787674;-38.0282096509;145.2548327926;0.0090619083802095
109;13;-38.0282096509;145.2548327926;-38.0283380144;145.2547220648;0.0181194446831347
110;13;-38.0283380144;145.2547220648;-38.0284070993;145.2546785618;0.0090037381038443
111;13;-38.0284070993;145.2546785618;-38.0284453254;145.2546616635;0.0047259173922031
112;13;-38.0284453254;145.2546616635;-38.0284799611;145.2546463474;0.0042821842910713
113;13;-38.0284799611;145.2546463474;-38.0285576205;145.2546255168;0.0092672740341087
114;13;-38.0285576205;145.2546255168;-38.0303465135;145.2542483475;0.2117223923806815
115;13;-38.0303465135;145.2542483475;-38.0303465135;145.2542483475;0.0
116;13;-38.0303465135;145.2542483475;-38.0304418778;145.2542282404;0.0112867372734878
117;14;-38.0758342901;145.2431898132;-38.0759059045;145.243175441;0.0084650137863379
118;14;-38.0759059045;145.243175441;-38.0759059216;145.2431754375;2.02225394059562e-06
119;14;-38.0759059216;145.2431754375;-38.0763356624;145.2430891925;0.0507965213615839
120;14;-38.0763356624;145.2430891925;-38.076820403;145.2429919054;0.0572976968170491
121;14;-38.076820403;145.2429919054;-38.0768933018;145.2429772746;0.0082065166242032
122;15;-38.1280666892;145.234707652;-38.1281101668;145.2348394646;0.0133897983595451
123;15;-38.1281101668;145.2348394646;-38.1281437836;145.2349413826;0.0103530267433693
124;15;-38.1281437836;145.2349413826;-38.1281777232;145.2350442795;0.0104524573974098
125;15;-38.1281777232;145.2350442795;-38.1282125081;145.2351497458;0.0107133565258645
126;15;-38.1282125081;145.2351497458;-38.1283218566;145.2354812815;0.0336777138689148
127;15;-38.1283218566;145.2354812815;-38.1283408882;145.23553897;0.0058602575906582
128;15;-38.1283408882;145.23553897;-38.1288010554;145.2358791808;0.0633948982570482
129;15;-38.1288010554;145.2358791808;-38.1296658861;145.2365185753;0.1191434321003985
130;15;-38.1296658861;145.2365185753;-38.1297058956;145.2365266972;0.0048250861381168
131;15;-38.1297058956;145.2365266972;-38.1300347148;145.2358138896;0.0774093484396072
132;15;-38.1300347148;145.2358138896;-38.1303618296;145.2351047663;0.0770086932483336
133;15;-38.1303618296;145.2351047663;-38.1295695981;145.2345190638;0.1091407093366833
134;15;-38.1295695981;145.2345190638;-38.1295291956;145.2343929698;0.0127545923364076
135;15;-38.1295291956;145.2343929698;-38.1295064245;145.2343219131;0.0071876451801515
136;15;-38.1295064245;145.2343219131;-38.1295069267;145.2342444305;0.0072586654807329
137;15;-38.1295069267;145.2342444305;-38.1299035409;145.2340518943;0.0505592501817889
138;15;-38.1299035409;145.2340518943;-38.1300341034;145.2340248372;0.0157538933614687
139;15;-38.1300341034;145.2340248372;-38.1301514967;145.2340247232;0.0139803447575571
140;15;-38.1301514967;145.2340247232;-38.1302677654;145.2340469599;0.014002225460483
141;15;-38.1302677654;145.2340469599;-38.1303528517;145.234084532;0.0107267748672727
142;15;-38.1303528517;145.234084532;-38.130618523;145.2343240901;0.0387892961738388
