conf_qubit_alloc,conf_cluster_type,conf_target_id,conf_qaoa_depth,shots,bit_string,count,cost,benchmark_min_cost,benchmark_avg_cost,benchmark_max_cost,timestamp
naive_adjacency,waste_collection_area,56,2,512,1.00001E+15,0,19.87691932,17.97359694,18.9461691,19.87691932,8/28/2025 8:18
naive_adjacency,waste_collection_area,56,2,512,1.00001E+15,0,17.97359694,17.97359694,18.9461691,19.87691932,8/28/2025 8:18
naive_adjacency,waste_collection_area,56,2,512,1E+15,0,18.98799105,17.97359694,18.9461691,19.87691932,8/28/2025 8:18
naive_adjacency,waste_collection_area,56,2,512,1E+15,0,17.97359694,17.97359694,18.9461691,19.87691932,8/28/2025 8:18
naive_adjacency,waste_collection_area,56,2,512,1E+15,0,18.98799105,17.97359694,18.9461691,19.87691932,8/28/2025 8:18
naive_adjacency,waste_collection_area,56,2,512,1E+15,0,19.87691932,17.97359694,18.9461691,19.87691932,8/28/2025 8:18
naive_adjacency,waste_collection_area,56,2,512,1.001E+14,0,17.97359694,17.97359694,18.9461691,19.87691932,8/28/2025 8:18
naive_adjacency,waste_collection_area,56,2,512,1.001E+14,0,19.87691932,17.97359694,18.9461691,19.87691932,8/28/2025 8:18
naive_adjacency,waste_collection_area,56,2,512,1.01E+13,0,18.98799105,17.97359694,18.9461691,19.87691932,8/28/2025 8:18
naive_adjacency,waste_collection_area,56,2,512,1.1E+12,0,19.87691932,17.97359694,18.9461691,19.87691932,8/28/2025 8:18
naive_adjacency,waste_collection_area,56,2,512,1.01E+13,0,18.98799105,17.97359694,18.9461691,19.87691932,8/28/2025 8:18
naive_adjacency,waste_collection_area,56,2,512,1.1E+12,0,17.97359694,17.97359694,18.9461691,19.87691932,8/28/2025 8:18
naive_adjacency,waste_collection_area,56,2,512,1.00001E+14,0,17.97359694,17.97359694,18.9461691,19.87691932,8/28/2025 8:18
naive_adjacency,waste_collection_area,56,2,512,1E+14,0,18.98799105,17.97359694,18.9461691,19.87691932,8/28/2025 8:18
naive_adjacency,waste_collection_area,56,2,512,1.001E+13,0,19.87691932,17.97359694,18.9461691,19.87691932,8/28/2025 8:18
naive_adjacency,waste_collection_area,56,2,512,1.01001E+12,0,18.98799105,17.97359694,18.9461691,19.87691932,8/28/2025 8:18
naive_adjacency,waste_collection_area,56,2,512,1.00001E+13,0,19.87691932,17.97359694,18.9461691,19.87691932,8/28/2025 8:18
naive_adjacency,waste_collection_area,56,2,512,1.00101E+12,0,17.97359694,17.97359694,18.9461691,19.87691932,8/28/2025 8:18
naive_adjacency,waste_collection_area,56,2,512,1.00001E+14,0,19.87691932,17.97359694,18.9461691,19.87691932,8/28/2025 8:18
naive_adjacency,waste_collection_area,56,2,512,1E+14,0,18.98799105,17.97359694,18.9461691,19.87691932,8/28/2025 8:18
naive_adjacency,waste_collection_area,56,2,512,1.001E+13,0,17.97359694,17.97359694,18.9461691,19.87691932,8/28/2025 8:18
naive_adjacency,waste_collection_area,56,2,512,1.01E+12,0,18.98799105,17.97359694,18.9461691,19.87691932,8/28/2025 8:18
naive_adjacency,waste_collection_area,56,2,512,1.00001E+13,0,17.97359694,17.97359694,18.9461691,19.87691932,8/28/2025 8:18
