Location Coordinate;Feature Extent;Postcode;Projection;Latitude Coordinate;Longitude Coordinate;Location;Bin Type;Bin Type (other);Number of Bins;Bin Size;Bin Size (other);Waste Type;Waste Type (other);Bin Colours;Bin Colours (other);Stand Condition;Stand Condition - other;Plate Fitting;Locking;Locking - other;Key Requirement;Bin Condition;Bin Condition - other;Date;Easting Coordinate;Northing Coordinate;GISFid;Google Maps Direction;Property_Address;Suburb;Last Modification Date;Council Ward
-38.1122262647, 145.297335818;"{""coordinates"": [145.297335818, -38.1122262647], ""type"": ""Point""}";3977;MGA2020 Zone 55;-38.1122262646962;145.2973358179973;;Cage;;1;240lt;;General;;Green;;3- Good;;;Working;;yes;3- Good;;2022-09-20;350733;5780365;1155;https://www.google.com.au/maps/dir//-38.1122262646962,145.2973358179973/@your+location,17z/data=!4m2!4m1!3e0;65 Berwick-Cranbourne Rd Cranbourne East 3977;Cranbourne East;2025-05-26;Correa
-38.1138796779, 145.296649961;"{""coordinates"": [145.296649961, -38.1138796779], ""type"": ""Point""}";3977;MGA2020 Zone 55;-38.11387967789623;145.29664996099734;;Cage;;1;120lt;;General;;Green;;1- Poor,2- Average;;;Not Working;;no;3- Good;;2022-09-20;350677;5780180;1157;https://www.google.com.au/maps/dir//-38.11387967789623,145.29664996099734/@your+location,17z/data=!4m2!4m1!3e0;Berwick-Cranbourne Rd Cranbourne East 3977;Cranbourne East;2025-05-26;Correa
-37.9908233229, 145.243222872;"{""coordinates"": [145.243222872, -37.9908233229], ""type"": ""Point""}";3177;MGA2020 Zone 55;-37.99082332289611;145.24322287199686;;Cage;;1;240lt;;General;;Green;;5- Excellent;;;Working;;yes;5- Excellent;;2022-09-09;345735;5793748;1168;https://www.google.com.au/maps/dir//-37.99082332289611,145.24322287199686/@your+location,17z/data=!4m2!4m1!3e0;Laurel Ave Doveton 3177;Doveton;2025-05-26;Waratah
-38.0825324084, 145.276313457;"{""coordinates"": [145.276313457, -38.0825324084], ""type"": ""Point""}";3977;MGA2020 Zone 55;-38.08253240839618;145.27631345699717;;Cage;;1;120lt;;General;;Green;;3- Good;;;Working;;yes;3- Good;;2022-09-08;348829;5783626;1169;https://www.google.com.au/maps/dir//-38.08253240839618,145.27631345699717/@your+location,17z/data=!4m2!4m1!3e0;101-103 Lesdon Ave Cranbourne 3977;Cranbourne;2025-05-26;Correa
-38.0883512507, 145.277492618;"{""coordinates"": [145.277492618, -38.0883512507], ""type"": ""Point""}";3977;MGA2020 Zone 55;-38.088351250696185;145.27749261799718;;Free Standing;;6;240lt;;General,Recycle;;Green,Yellow;;;;;;;no;2- Average,3- Good;;2022-09-08;348945;5782982;1172;https://www.google.com.au/maps/dir//-38.088351250696185,145.27749261799718/@your+location,17z/data=!4m2!4m1!3e0;Lesdon Ave Cranbourne 3977;Cranbourne;2025-05-26;Correa
-38.0970483134, 145.282847397;"{""coordinates"": [145.282847397, -38.0970483134], ""type"": ""Point""}";3977;MGA2020 Zone 55;-38.097048313396186;145.28284739699723;;Cage;;1;240lt;;General;;Green;;2- Average;;;Working;;yes;3- Good;;2022-09-08;349432;5782026;1173;https://www.google.com.au/maps/dir//-38.097048313396186,145.28284739699723/@your+location,17z/data=!4m2!4m1!3e0;South Gippsland Hwy Cranbourne 3977;Cranbourne;2025-05-26;Correa
-38.0970825184, 145.282419619;"{""coordinates"": [145.282419619, -38.0970825184], ""type"": ""Point""}";3977;MGA2020 Zone 55;-38.09708251839619;145.28241961899724;;Cage;;2;240lt;;General;;Green;;3- Good;;;Working;;yes;3- Good;;2022-09-08;349395;5782021;1174;https://www.google.com.au/maps/dir//-38.09708251839619,145.28241961899724/@your+location,17z/data=!4m2!4m1!3e0;1-17 Cranbourne Pl Cranbourne 3977;Cranbourne;2025-05-26;Correa
-38.1091738309, 145.283504581;"{""coordinates"": [145.283504581, -38.1091738309], ""type"": ""Point""}";3977;MGA2020 Zone 55;-38.10917383089617;145.2835045809972;;Cage;;1;240lt;;General;;Green;;3- Good;;;Working;;yes;3- Good;;2022-09-08;349515;5780681;1194;https://www.google.com.au/maps/dir//-38.10917383089617,145.2835045809972/@your+location,17z/data=!4m2!4m1!3e0;Main St Cranbourne 3977;Cranbourne;2025-05-26;Correa
-38.109457721, 145.283304043;"{""coordinates"": [145.283304043, -38.109457721], ""type"": ""Point""}";3977;MGA2020 Zone 55;-38.109457720996176;145.2833040429972;;Cage;;1;120lt;;General;;Green;;3- Good;;;Working;;yes;3- Good;;2022-09-08;349498;5780650;1199;https://www.google.com.au/maps/dir//-38.109457720996176,145.2833040429972/@your+location,17z/data=!4m2!4m1!3e0;High St Cranbourne 3977;Cranbourne;2025-05-26;Quarters
-38.1062533162, 145.28369212;"{""coordinates"": [145.28369212, -38.1062533162], ""type"": ""Point""}";3977;MGA2020 Zone 55;-38.10625331619619;145.2836921199972;;Cage;;4;240lt;;General;;Green;;1- Poor,2- Average;;;Working;;yes;3- Good;;2022-09-08;349525;5781006;1204;https://www.google.com.au/maps/dir//-38.10625331619619,145.2836921199972/@your+location,17z/data=!4m2!4m1!3e0;High St Cranbourne 3977;Cranbourne;2025-05-26;Correa
-38.022107645, 145.25119775;"{""coordinates"": [145.25119775, -38.022107645], ""type"": ""Point""}";3976;MGA2020 Zone 55;-38.022107644996126;145.25119774999695;;Stand;;1;240lt;;General;;Green;;3- Good;;;Working;;yes;3- Good;;2022-09-07;346500;5790290;1221;https://www.google.com.au/maps/dir//-38.022107644996126,145.25119774999695/@your+location,17z/data=!4m2!4m1!3e0;11 Pound Rd Hampton Park 3976;Hampton Park;2025-05-26;Waratah
-38.0247158418, 145.253758924;"{""coordinates"": [145.253758924, -38.0247158418], ""type"": ""Point""}";3976;MGA2020 Zone 55;-38.024715841796144;145.25375892399705;;Stand;;1;240lt;;General;;Green;;3- Good;;;Working;;yes;3- Good;;2022-09-07;346730;5790005;1222;https://www.google.com.au/maps/dir//-38.024715841796144,145.25375892399705/@your+location,17z/data=!4m2!4m1!3e0;18 Chiswick Crt Hampton Park 3976;Hampton Park;2025-05-26;Waratah
-38.0325520831, 145.273439046;"{""coordinates"": [145.273439046, -38.0325520831], ""type"": ""Point""}";3976;MGA2020 Zone 55;-38.0325520830962;145.2734390459971;;Cage;;1;240lt;;General;;Green;;1- Poor;;;Working;;yes;3- Good;;2022-09-07;348474;5789167;1223;https://www.google.com.au/maps/dir//-38.0325520830962,145.2734390459971/@your+location,17z/data=!4m2!4m1!3e0;Sue Crt Hampton Park 3976;Hampton Park;2025-05-26;River Gum
-38.0442398329, 145.276071712;"{""coordinates"": [145.276071712, -38.0442398329], ""type"": ""Point""}";3976;MGA2020 Zone 55;-38.044239832896196;145.27607171199716;;Cage;;1;240lt;;General;;Green;;3- Good;;;Working;;yes;4- Very Good;;2022-09-07;348729;5787875;1230;https://www.google.com.au/maps/dir//-38.044239832896196,145.27607171199716/@your+location,17z/data=!4m2!4m1!3e0;193 Coral Drv Hampton Park 3976;Hampton Park;2025-05-26;River Gum
-38.032200085, 145.266454406;"{""coordinates"": [145.266454406, -38.032200085], ""type"": ""Point""}";3976;MGA2020 Zone 55;-38.03220008499617;145.2664544059971;;Cage;;1;240lt;;General;;Green;;3- Good;;;Working;;yes;4- Very Good;;2022-09-07;347860;5789195;1234;https://www.google.com.au/maps/dir//-38.03220008499617,145.2664544059971/@your+location,17z/data=!4m2!4m1!3e0;154 Sommerville Rd Hampton Park 3976;Hampton Park;2025-05-26;Waratah
-38.0308145038, 145.25698878;"{""coordinates"": [145.25698878, -38.0308145038], ""type"": ""Point""}";3976;MGA2020 Zone 55;-38.030814503796144;145.25698877999702;;Cage;;1;240lt;;General;;Green;;4- Very Good;;;Working;;yes;3- Good;;2022-09-07;347027;5789333;1238;https://www.google.com.au/maps/dir//-38.030814503796144,145.25698877999702/@your+location,17z/data=!4m2!4m1!3e0;80-90 Somerville Rd Hampton Park 3976;Hampton Park;2025-05-26;Waratah
-38.0404223549, 145.254242644;"{""coordinates"": [145.254242644, -38.0404223549], ""type"": ""Point""}";3976;MGA2020 Zone 55;-38.04042235489615;145.25424264399695;;Cage;;1;240lt;;General;;Green;;1- Poor;;;Not Working;;no;2- Average;;2022-09-07;346806;5788263;1240;https://www.google.com.au/maps/dir//-38.04042235489615,145.25424264399695/@your+location,17z/data=!4m2!4m1!3e0;Central Rd Hampton Park 3976;Hampton Park;2025-05-26;River Gum
-38.0799594988, 145.337592289;"{""coordinates"": [145.337592289, -38.0799594988], ""type"": ""Point""}";3978;MGA2020 Zone 55;-38.07995949879634;145.33759228899757;;Cage;;1;240lt;;General;;Green;;3- Good;;;Working;;yes;4- Very Good;;2022-09-07;354199;5784009;1242;https://www.google.com.au/maps/dir//-38.07995949879634,145.33759228899757/@your+location,17z/data=!4m2!4m1!3e0;Viewbank Rd Clyde North 3978;Clyde North;2025-05-26;Dillwynia
